[['systime', '1448932943'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1680'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 07 28']]
[['systime', '1448933263'], ['temperature', '33'], ['CpuUtilization1sec', '8'], ['FanSpeed', '1680'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 07 31']]
[['systime', '1448933583'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 07 34']]
[['systime', '1448933903'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 07 38']]
[['systime', '1448934225'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 07 41']]
[['systime', '1448934545'], ['temperature', '33'], ['CpuUtilization1sec', '6'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 07 44']]
[['systime', '1448934865'], ['temperature', '33'], ['CpuUtilization1sec', '8'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 07 47']]
[['systime', '1448935185'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 07 50']]
[['systime', '1448935506'], ['temperature', '33'], ['CpuUtilization1sec', '6'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 07 54']]
[['systime', '1448935826'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 07 57']]
[['systime', '1448936146'], ['temperature', '33'], ['CpuUtilization1sec', '8'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 08 00']]
[['systime', '1448936468'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 08 03']]
[['systime', '1448936788'], ['temperature', '33'], ['CpuUtilization1sec', '6'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 08 06']]
[['systime', '1448937108'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 08 10']]
[['systime', '1448937430'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1680'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 08 13']]
[['systime', '1448937750'], ['temperature', '33'], ['CpuUtilization1sec', '9'], ['FanSpeed', '1680'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 08 16']]
[['systime', '1448938070'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 08 19']]
[['systime', '1448938391'], ['temperature', '33'], ['CpuUtilization1sec', '6'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 08 22']]
[['systime', '1448938711'], ['temperature', '33'], ['CpuUtilization1sec', '6'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 08 26']]
[['systime', '1448939033'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 08 29']]
[['systime', '1448939353'], ['temperature', '33'], ['CpuUtilization1sec', '8'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 08 32']]
[['systime', '1448939673'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 08 35']]
[['systime', '1448939993'], ['temperature', '33'], ['CpuUtilization1sec', '6'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 08 38']]
[['systime', '1448940315'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 08 42']]
[['systime', '1448940635'], ['temperature', '33'], ['CpuUtilization1sec', '8'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 08 45']]
[['systime', '1448940956'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 08 48']]
[['systime', '1448941276'], ['temperature', '33'], ['CpuUtilization1sec', '4'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 08 51']]
[['systime', '1448941598'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 08 54']]
[['systime', '1448941918'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1680'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 08 58']]
[['systime', '1448942238'], ['temperature', '33'], ['CpuUtilization1sec', '8'], ['FanSpeed', '1680'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 09 01']]
[['systime', '1448942558'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 09 04']]
[['systime', '1448942880'], ['temperature', '33'], ['CpuUtilization1sec', '6'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 09 07']]
[['systime', '1448943200'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 09 10']]
[['systime', '1448943520'], ['temperature', '33'], ['CpuUtilization1sec', '8'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 09 14']]
[['systime', '1448943841'], ['temperature', '33'], ['CpuUtilization1sec', '9'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 09 17']]
[['systime', '1448944161'], ['temperature', '33'], ['CpuUtilization1sec', '6'], ['FanSpeed', '1680'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 09 20']]
[['systime', '1448944483'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1680'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 09 23']]
[['systime', '1448944803'], ['temperature', '33'], ['CpuUtilization1sec', '8'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 09 26']]
[['systime', '1448945123'], ['temperature', '33'], ['CpuUtilization1sec', '8'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 09 30']]
[['systime', '1448945443'], ['temperature', '33'], ['CpuUtilization1sec', '8'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 09 33']]
[['systime', '1448945765'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 09 36']]
[['systime', '1448946085'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1680'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 09 39']]
[['systime', '1448946405'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1680'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 09 42']]
[['systime', '1448946725'], ['temperature', '33'], ['CpuUtilization1sec', '9'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 09 45']]
[['systime', '1448947046'], ['temperature', '33'], ['CpuUtilization1sec', '10'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 09 49']]
[['systime', '1448947366'], ['temperature', '33'], ['CpuUtilization1sec', '4'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 09 52']]
[['systime', '1448947686'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 09 55']]
[['systime', '1448948008'], ['temperature', '33'], ['CpuUtilization1sec', '8'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 09 58']]
